search_term,word2vec_result
망원동,"[('해소', 0.3857), ('베르', 0.355), ('열중', 0.3358), ('스페이스', 0.2936), ('가득', 0.2747), ('동양', 0.2662), ('벌', 0.2647), ('더스틴', 0.2623), ('어레미', 0.2554), ('무조건', 0.2486), ('조심스레', 0.2474), ('탑', 0.2471), ('서울', 0.2436), ('이색', 0.2368), ('신상', 0.235), ('스파게티', 0.2325), ('망원', 0.2307), ('로라', 0.2271), ('노미야', 0.2265), ('길', 0.2223), ('캐롤라인', 0.221), ('빌렛', 0.2206), ('모자', 0.2177), ('플리', 0.2137), ('커피', 0.2136), ('넘치', 0.213), ('들리', 0.213), ('설비', 0.2113), ('전용', 0.2091), ('컵', 0.2085), ('좋', 0.208), ('귀엽', 0.2067), ('스테이크', 0.2053), ('부근', 0.2053), ('므아르', 0.2044), ('컵스', 0.2022), ('판매', 0.2014), ('동당', 0.2004), ('단', 0.2004), ('샤브샤브', 0.2003), ('고고', 0.2002), ('티그레', 0.2), ('끼', 0.2), ('역점', 0.1973), ('부부', 0.1972), ('파사', 0.1963), ('레드', 0.1931), ('하우스', 0.1928), ('망리', 0.1926), ('계획', 0.1921)]"
을지로,"[('지로', 0.3976), ('맛집', 0.3425), ('플', 0.3182), ('숨', 0.3146), ('건강', 0.2892), ('분위기', 0.2836), ('데이트', 0.2753), ('옥', 0.2623), ('서울', 0.2573), ('힙', 0.2563), ('곳', 0.2505), ('좋', 0.2357), ('웨일', 0.2336), ('마곡역', 0.2313), ('인바', 0.2274), ('핫', 0.2241), ('디저트', 0.2224), ('뒷', 0.2165), ('카타', 0.2146), ('추천', 0.2108), ('맛있', 0.2087), ('종각', 0.2055), ('을지로입구역', 0.2038), ('가브리', 0.2027), ('국적', 0.2008), ('크림', 0.1999), ('입구', 0.1998), ('르', 0.198), ('프레첼', 0.1974), ('고기', 0.1965), ('알', 0.1948), ('야장', 0.1943), ('휘', 0.1936), ('도우', 0.1925), ('난로', 0.1923), ('고추장찌개', 0.1919), ('입', 0.1905), ('푸쉬', 0.1902), ('콘티뉴이티', 0.1901), ('충무로', 0.19), ('우즈', 0.1898), ('또', 0.1897), ('루프', 0.1888), ('코스', 0.1888), ('술집', 0.1884), ('메뉴', 0.1882), ('선정', 0.187), ('해외', 0.1863), ('차', 0.1855), ('라떼', 0.1851)]"
성내동,"[('내동', 0.4965), ('꾸준히', 0.2587), ('페하', 0.2574), ('너무', 0.256), ('할머니', 0.2523), ('용달', 0.2412), ('캐릭터', 0.2411), ('동치', 0.2373), ('온', 0.2369), ('오랫동안', 0.2299), ('필독', 0.2293), ('기성', 0.2251), ('볶음밥', 0.2158), ('오랜만', 0.2158), ('싫', 0.2146), ('카츠', 0.2124), ('어떻', 0.2113), ('궁금', 0.2097), ('영창', 0.2091), ('수지', 0.2087), ('필름', 0.2068), ('진해', 0.2064), ('군침', 0.2033), ('카', 0.199), ('손맛', 0.1989), ('사람', 0.1985), ('파블로바', 0.198), ('힐링', 0.1976), ('스터디', 0.1972), ('불향', 0.1969), ('알', 0.1934), ('루틴', 0.1917), ('솔직히', 0.1875), ('커뮤니티', 0.1872), ('리스트', 0.1859), ('하이엔드', 0.1844), ('연속', 0.184), ('선글라스', 0.1838), ('직장인', 0.1832), ('타', 0.1825), ('푸딩', 0.1825), ('답례품', 0.1822), ('비결', 0.1819), ('허영', 0.1818), ('츄', 0.1817), ('가우', 0.1817), ('소리', 0.1809), ('흐르', 0.1802), ('디맨드', 0.1797), ('엘베', 0.1788)]"
문래동,"[('문래', 0.3169), ('핫', 0.2977), ('맛집', 0.274), ('탐방기', 0.2726), ('창', 0.2665), ('방문기', 0.25), ('미노리', 0.2487), ('배달', 0.2401), ('모두', 0.2394), ('좋', 0.2361), ('코스', 0.2347), ('하프', 0.2342), ('분위기', 0.233), ('서울', 0.2264), ('지상', 0.2263), ('찢', 0.2248), ('점', 0.2246), ('영업', 0.2236), ('등심', 0.223), ('플', 0.2213), ('문래역', 0.2198), ('추천', 0.2189), ('가을', 0.2154), ('봉', 0.2136), ('대', 0.2127), ('집', 0.2094), ('맛있', 0.2091), ('감성', 0.2091), ('돼지고기', 0.209), ('해산물', 0.2024), ('맛', 0.1998), ('수제', 0.1981), ('작촌', 0.1976), ('스테이크', 0.1969), ('지제', 0.196), ('안주', 0.196), ('촌맛', 0.1957), ('문화', 0.1951), ('데이트', 0.1944), ('음식', 0.194), ('고기', 0.1911), ('유니크', 0.1897), ('주차', 0.188), ('먹자골목', 0.1873), ('완벽', 0.1873), ('디', 0.1865), ('조용', 0.1848), ('신도림역', 0.1844), ('주년', 0.184), ('솥뚜껑', 0.1836)]"
봉천동,"[('쭈꾸미', 0.3102), ('피노', 0.2824), ('극', 0.2703), ('굳', 0.2633), ('예후', 0.259), ('막', 0.2564), ('시원', 0.2462), ('이펑', 0.2454), ('저녁', 0.2448), ('아망', 0.2416), ('공개', 0.2377), ('낙성대동', 0.2318), ('주관', 0.2306), ('없애', 0.2305), ('데이트', 0.2297), ('최저', 0.2284), ('배수관', 0.2246), ('김치찌개', 0.2229), ('육수', 0.2222), ('스물', 0.2189), ('천동진', 0.2182), ('쭈앤쭈', 0.2162), ('이', 0.2128), ('프레디', 0.2125), ('펍', 0.2106), ('낮', 0.2104), ('청림동', 0.2092), ('안정', 0.2073), ('건강식', 0.2054), ('달', 0.2051), ('실개', 0.205), ('경동', 0.2046), ('법원', 0.2039), ('원탑', 0.202), ('항정살', 0.2018), ('인심', 0.1998), ('폐업', 0.1998), ('더블', 0.1989), ('횡', 0.1982), ('동다', 0.198), ('해물탕', 0.1975), ('모리츠', 0.197), ('만두', 0.1968), ('세망', 0.1966), ('대대', 0.1951), ('디프', 0.1947), ('행복', 0.1942), ('욕', 0.1922), ('스파게티', 0.192), ('초벌', 0.1885)]"
녹사평,"[('녹사평역', 0.6101), ('평역', 0.3715), ('탑', 0.3101), ('아보', 0.292), ('댕', 0.2883), ('선데이', 0.2795), ('앰버', 0.2704), ('경리', 0.2668), ('이태원', 0.261), ('회', 0.2603), ('후기', 0.2542), ('우이', 0.2453), ('루프', 0.2432), ('시', 0.2327), ('신년', 0.2327), ('이', 0.2325), ('단', 0.232), ('필드', 0.2311), ('줄서', 0.2249), ('와인', 0.2237), ('맛집', 0.2227), ('밤거리', 0.2214), ('찾', 0.2178), ('좋', 0.2146), ('있', 0.2141), ('모듬', 0.2137), ('야장', 0.2104), ('빵', 0.209), ('아늑', 0.2042), ('길', 0.2027), ('아시아', 0.1999), ('맛있', 0.1958), ('동대문', 0.1944), ('쌀국수', 0.1927), ('너무', 0.1906), ('예약', 0.19), ('비방', 0.1888), ('하이볼', 0.1885), ('소개팅', 0.1867), ('예쁘', 0.1834), ('나르', 0.1796), ('핫', 0.1792), ('분위기', 0.1784), ('스푼', 0.1775), ('타이거', 0.1753), ('산점', 0.172), ('한', 0.1689), ('레스토랑', 0.1677), ('스윗', 0.1669), ('추천', 0.1653)]"
도곡동,"[('곡동', 0.4807), ('미도', 0.3011), ('시스템', 0.2908), ('측량', 0.2712), ('냄비', 0.271), ('브라운', 0.2612), ('에어컨', 0.2609), ('리', 0.2579), ('칼라', 0.2567), ('투썸', 0.2565), ('보락', 0.2554), ('캠', 0.253), ('인', 0.2457), ('이경', 0.2426), ('솔', 0.2425), ('달항아리', 0.2403), ('한정식', 0.2368), ('바흐', 0.2346), ('딥', 0.2298), ('윤곽', 0.2265), ('오리', 0.2255), ('핵심', 0.2255), ('모델링', 0.2239), ('고층', 0.2215), ('조율', 0.2209), ('현황', 0.2196), ('상견례', 0.2183), ('늘', 0.2159), ('오피러스', 0.2151), ('미역', 0.2133), ('평수', 0.2097), ('운반', 0.209), ('애쉬', 0.2062), ('스타일리스트', 0.2055), ('코핀', 0.2053), ('역세권', 0.2041), ('진단', 0.2019), ('월', 0.2014), ('스지', 0.2014), ('지형', 0.1976), ('복장', 0.1974), ('역점', 0.1969), ('유로', 0.1965), ('발레리나', 0.1955), ('값', 0.195), ('옴', 0.1948), ('플레이스', 0.1946), ('편하', 0.1942), ('제과점', 0.1938), ('키친', 0.1937)]"
불광동,"[('악화', 0.4234), ('빙수', 0.2975), ('프리롤', 0.2697), ('플라스틱', 0.2521), ('뉴스', 0.2493), ('크린', 0.2481), ('사업', 0.2475), ('실패', 0.2474), ('증례', 0.2434), ('포터스', 0.2355), ('기교체', 0.2293), ('물새', 0.2263), ('장치', 0.2263), ('벽돌', 0.2222), ('솔', 0.221), ('근린', 0.2209), ('어렵', 0.2207), ('감압', 0.2206), ('힘드', 0.2181), ('양변', 0.2171), ('소리', 0.2171), ('밸브', 0.2166), ('대응', 0.2159), ('듬뿍', 0.2141), ('티어', 0.214), ('호전', 0.2139), ('단발머리', 0.2139), ('가격표', 0.2131), ('재래', 0.2107), ('광동', 0.2105), ('인접', 0.2085), ('지니', 0.2085), ('수복', 0.2081), ('임대', 0.2071), ('현관', 0.2066), ('유지관리', 0.2064), ('서포터', 0.2053), ('억', 0.2052), ('접수', 0.2047), ('하', 0.2037), ('변동', 0.2033), ('자전거', 0.2032), ('햇살', 0.2019), ('강남구', 0.2004), ('렌즈', 0.1979), ('훈', 0.1974), ('문신', 0.1951), ('태성', 0.1951), ('홀', 0.1947), ('처음', 0.1946)]"
장위동,"[('월곡역', 0.3061), ('안경진', 0.3016), ('누리안', 0.2386), ('ㅡ', 0.2256), ('탐방기', 0.2188), ('장여', 0.2163), ('유명', 0.215), ('새로', 0.2115), ('밭', 0.2098), ('보양', 0.208), ('북동', 0.2067), ('송학', 0.202), ('쭈꾸미', 0.1994), ('반달', 0.1989), ('평가', 0.1964), ('정성', 0.1957), ('결손', 0.1933), ('베이커리', 0.1928), ('신속', 0.1925), ('진순', 0.1924), ('시골', 0.1923), ('사냥', 0.1915), ('미식', 0.1909), ('빵', 0.1908), ('후기', 0.1894), ('녹차', 0.1864), ('역세권', 0.1862), ('결혼', 0.1834), ('터짐', 0.1825), ('구설비', 0.1823), ('보철', 0.1823), ('크라운', 0.1801), ('부', 0.1799), ('점', 0.1795), ('솔직', 0.1786), ('플', 0.1785), ('무릎', 0.1781), ('주민', 0.1779), ('컬', 0.1779), ('망드', 0.1744), ('인근', 0.1736), ('동유', 0.1722), ('동고', 0.1716), ('따끈', 0.1713), ('전문', 0.1709), ('테이스트', 0.1708), ('아티', 0.17), ('직접', 0.1684), ('웨이팅', 0.1683), ('꿈', 0.167)]"
수색동,"[('스풀', 0.3149), ('다면', 0.3065), ('예담', 0.2946), ('계층', 0.2734), ('인덕션', 0.2673), ('세척기', 0.2598), ('스탠드', 0.2561), ('테라', 0.2503), ('정말', 0.249), ('평년', 0.2475), ('실천', 0.2429), ('역촌', 0.2425), ('옵션', 0.2343), ('정용', 0.2241), ('벨', 0.2202), ('오토바이', 0.2146), ('초고압', 0.2129), ('층층', 0.2106), ('어떻게', 0.208), ('돌아가', 0.2074), ('우방', 0.2058), ('이삿짐', 0.2035), ('나방파리', 0.1951), ('트럭', 0.1947), ('뚜껑', 0.1928), ('포레', 0.1921), ('트랩', 0.1909), ('공장', 0.1907), ('동포', 0.1887), ('트기', 0.1867), ('용역', 0.1856), ('시공', 0.1825), ('거실', 0.181), ('색동', 0.1801), ('현동', 0.18), ('제안', 0.176), ('잉', 0.1749), ('출발', 0.1744), ('탄탄히', 0.1731), ('인천', 0.1722), ('층', 0.1715), ('푸드', 0.1711), ('초점', 0.1704), ('운송', 0.1703), ('물마개', 0.1699), ('명가', 0.1697), ('평균', 0.1678), ('암', 0.1669), ('거중', 0.1663), ('문수', 0.1659)]"
